Name,Type,operatorType,Symbol,isBuiltIn,omitParentheses,LaTeX Commands
Logarithm,function,,log,TRUE,TRUE,\log
Logarithm Base 10,function,,lg,TRUE,TRUE,\lg
Logarithm Base 2,function,,log,TRUE,TRUE,\log
Logarithm Base 2,function,,lb,TRUE,TRUE,
Natural Logarithm,function,,ln,TRUE,TRUE,\ln
Greatest Common Divisor,function,,gcd,TRUE,FALSE,\gcd
Least Common Multiple,function,,lcm,TRUE,FALSE,\lcm
Omega Function,function,,ω,TRUE,FALSE,
Capital Omega Function,function,,Ω,TRUE,FALSE,
Euler Totient Function,function,,𝜙,FALSE,FALSE,\phi
Dirichlet Function,function,,D,FALSE,FALSE,
Riemann Function,function,,R,FALSE,FALSE,
Modulo,function,,mod,TRUE,FALSE,
Arithmetic Mean,function,,AM,TRUE,FALSE,
Average,function,,AM,TRUE,FALSE,
Geometric Mean,function,,GM,TRUE,FALSE,
Arithmetic-Geometric Mean,function,,AGM,TRUE,FALSE,
Min,function,,min,TRUE,FALSE,\min
Max,function,,max,TRUE,FALSE,\max
Exponential Function,function,,exp,TRUE,FALSE,
Differential,function,,d,TRUE,TRUE,
Second Differential,function,,d,TRUE,TRUE,
Third Differential,function,,d,TRUE,TRUE,
N-Differential,function,,d,TRUE,TRUE,
Partial Differential,function,,∂,TRUE,TRUE,\partial
Second Partial Differential,function,,∂,TRUE,TRUE,
Third Partial Differential,function,,∂,TRUE,TRUE,
N-Partial Differential,function,,∂,TRUE,TRUE,
Delta,function,,Δ,TRUE,TRUE,
Summation,function,,∑,TRUE,TRUE,\sum
Wedge Sum,function,,⋁,TRUE,FALSE,\bigwedge
Direct Sum,function,,⨁,TRUE,TRUE,\bigoplus
Large Tensor Product,function,,⨂,TRUE,TRUE,\bigotimes
Product,function,,∏,TRUE,TRUE,\prod
Coproduct,function,,∐,TRUE,TRUE,\coprod
Integral,function,,∫,TRUE,TRUE,\int
Indefinite Integral,function,,∫,TRUE,TRUE,\int
Double Integral,function,,∬,TRUE,TRUE,\iint
Triple Integral,function,,∭,TRUE,TRUE,\iiint
Contour Integral,function,,∮,TRUE,TRUE,\oint
Clockwise Integral,function,,∱,TRUE,TRUE,\oint
Clockwise Contour Integral,function,,∲,TRUE,TRUE,\oint
Anticlockwise Contour Integral,function,,∳,TRUE,TRUE,\oint
Surface Integral,function,,∯,TRUE,TRUE,\oiint
Volume Integral,function,,∰,TRUE,TRUE,\oiiint
Limit,function,,lim,TRUE,TRUE,\lim
Divergence,function,,div,TRUE,FALSE,
Curl,function,,curl,TRUE,FALSE,
Absolute Value,function,,abs,TRUE,FALSE,\left| \right|
Argument Of A Complex Number,function,,arg,TRUE,FALSE,
Lagrangian,function,,ℒ,TRUE,FALSE,
Hamiltonian,function,,H,TRUE,FALSE,
Fourier Transform,function,,ℱ,TRUE,FALSE,
Fourier Bessel Transform,function,,ℱ,TRUE,FALSE,
Potential Energy,function,,V,TRUE,FALSE,
Abel Transform,function,,g,TRUE,FALSE,
Instrument Function,function,,I,TRUE,FALSE,
Distance Between Two Points,function,,dist,TRUE,FALSE,
Determinant,function,,det,TRUE,FALSE,
Trace,function,,tr,TRUE,FALSE,
Rank,function,,rank,TRUE,FALSE,
Wave Function,function,,ψ,FALSE,FALSE,
Bessel Function,function,,J,TRUE,FALSE,
Gamma Function,function,,Γ,TRUE,FALSE,
Dirac Function,function,,δ,FALSE,FALSE,
Heaviside Function,function,,H,FALSE,FALSE,
Kronecker Delta,function,,δ,FALSE,FALSE,
Riemann Zeta Function,function,,ζ,FALSE,FALSE,
Bateman Function,function,,K,FALSE,FALSE,
Beta Function,function,,B,FALSE,FALSE,
Expected Value,function,,E,TRUE,FALSE,
